iter	MultiClass
0	2.202796255
1	2.11267573
2	2.053477792
3	1.990882324
4	1.942337132
5	1.894206414
6	1.852116646
7	1.820244702
8	1.791938941
9	1.764477203
10	1.745563616
11	1.731165397
12	1.709041146
13	1.69361549
14	1.676644478
15	1.659009178
16	1.639480094
17	1.6244314
18	1.612950485
19	1.601325948
20	1.591433632
21	1.57956225
22	1.567950363
23	1.557933811
24	1.547802703225	1.533765032626	1.52648568227	1.516866592228	1.5080118029	1.515444345
30	1.507928545
31	1.501020894
3232	1.4791462833	1.484026029
34	1.477498756
35	1.47275448
36	1.465808827
37	1.459947381
38	1.454809895
39	1.448350041
40	1.442256319
41	1.437703369
42	1.432621384
43	1.427954225
44	1.424086605
45	1.419465978
46	1.413097458
47	1.408917426
48	1.403337045
49	1.399817507
50	1.397255752
51	1.392969104
52	1.389572897
53	1.384052674
54	1.377965975
55	1.374307405
56	1.371081702
57	1.367101784
58	1.364363974
59	1.362290707
60	1.358965127
61	1.3557337
62	1.352661679
63	1.348498711
64	1.344796526
65	1.341586113
66	1.338320436
67	1.33466808
68	1.331367669
69	1.32726687
70	1.324613553
71	1.32140375
72	1.319080352
73	1.316217939
74	1.313468428
75	1.31027454
76	1.308313096
77	1.306239822
78	1.304320211
79	1.301089812
80	1.298995996
81	1.295636095
82	1.292333625
83	1.290217303
84	1.288515804
85	1.285703739
86	1.282878246
87	1.280719291
88	1.277463741
89	1.27499796
90	1.272917327
91	1.270647884
92	1.268054594
93	1.265969634
94	1.262326584
95	1.259430706
96	1.256582725
97	1.254138163
98	1.252239888
99	1.249306199
100	1.247402448
101	1.245170526
102	1.242866027
103	1.240633619
104	1.238324911
105	1.235830773
106	1.23424698
107	1.232177054
108	1.22938829
109	1.227658822
110	1.225987233
111	1.222623957
112	1.221055065
113	1.21797635
114	1.215651569
115	1.213745026
116	1.211639705
117	1.209758385
118	1.20738068
119	1.20517939
120	1.202205424
121	1.200126434
122	1.198044026
123	1.196145812
124	1.194061848
125	1.192247134
126	1.190343536
127	1.188641543
128	1.186976332
129	1.184957444
130	1.183051197
131	1.180785977
132	1.179335821
133	1.17779788
134	1.176165957
135	1.174527532
136	1.173352275
137	1.170939278
138	1.169213816
139	1.167633306
140	1.165712356
141	1.164680119
142	1.163298678
143	1.161764476
144	1.159979237
145	1.158428657
146	1.155740107
147	1.154670268
148	1.153227651
149	1.151076666
150	1.14939208
151	1.148087892
152	1.146668764
153	1.145737054
154	1.144204697
155	1.14272426
156	1.141923779
157	1.140721803
158	1.13867113
159	1.135983249
160	1.134082738
161	1.132622263
162	1.131561552
163	1.130431561
164	1.129016419
165	1.1165	1.112166	1.1166	1.110167	1.124863387
168	1.122883088
169	1.121238306
170	1.119212327
171	1.117848531
172	1.11641164
173	1.115415179
174	1.11174	1.09175	1.11175	1.09176	1.11176	1.09177	1.11177	1.09178	1.10178	1.09179	1.10179	1.09180	1.1180	1.089181	1.1181	1.086182	1.1182	1.085183	1.1183	1.084184	1.1184	1.082185	1.0185	1.082186	1.0186	1.080187	1.187	1.0797188	1.188	1.0788189	1.189	1.0776190	1.190	1.0763191	1.191	1.0751192	1.192	1.0730193	1.193	1.071194	1.0194	1.070195	1.0195	1.068196	1.0196	1.067197	1.0197	1.066198	1.0198	1.064199	1.0199	1.063200	1.0200	1.06201	1.07201	1.06202	1.07202	1.05203	1.07203	1.05204	1.07204	1.05205	1.07205	1.05206	1.07206	1.05207	1.06207	1.05208	1.208	1.0519209	1.209	1.0510210	1.210	1.0491211	1.211	1.0482212	1.212	1.0465213	1.213	1.0454214	1.214	1.0439215	1.215	1.0432216	1.216	1.0420217	1.217	1.0402218	1.218	1.0395219	1.219	1.0381220	1.220	1.0368221	1.052661178
222	1.222	1.0343223	1.050398156
224	1.049165665
225	1.225	1.0310226	1.226	1.0300227	1.227	1.0293228	1.228	1.0283229	1.229	1.0273230	1.230	1.0261231	1.040142786
232	1.038814262
233	1.037585193
234	1.035975626
235	1.034949601
236	1.033198974
237	1.032100012
238	1.031345045
239	1.03030862
240	1.029166408
241	1.028285719
242	1.027341582
243	1.026376328
244	1.025925409
245	1.024412325
246	1.023580285
247	1.022801215
248	1.021842642
249	1.020968484
250	1.019862984
251	1.019048454
252	1.016990787
253	1.016423004
254	1.015671074
255	1.014608333
256	1.012970972
257	1.011898626
258	1.010989999
259	1.009903501
260	1.008590238
261	1.007845994
262	1.006445548
263	1.005775606
264	1.004428006
265	1.003546445
266	1.002355421
267	1.001601838
268	1.00058991
269	0.9988689229
270	0.998122201
271	0.996663945
272	0.9955262252
273	0.9946198475
274	0.9939640955
275	0.9930456373
276	0.9919786453
277	0.9909642438
278	0.9897583595
279	0.9888211088
280	0.9881723136
281	0.9868345066
282	0.9855624307
283	0.9849040496
284	0.9834421934
285	0.9820405576
286	0.9814052754
287	0.9802434735
288	0.9796839373
289	0.9787792513
290	0.9781492898
291	0.977154103
292	0.9761858949
293	0.9751525861
294	0.9741621453
295	0.9734761855
296	0.9721200045
297	0.9712405839
298	0.9701604732
299	0.9694038104
877
299	0.9534121393
