iter	Passed	Remaining
0	122	36611
1	257	38303
2	373	36949
3	457	33860
4	565	33344
5	671	32902
6	789	33034
7	893	32618
8	1006	3252899	1131	32819110	1260	33120111	1374	32987112	1462	32287113	1577	32218114	1682	31959115	1786	31716116	1916	31901117	2030	31808118	2134	31562119	2231	31242220	2337	31052221	2461	31100222	2578	31059223	2687	30902224	2806	30871225	2912	30688226	2999	30324227	3110	30213228	3219	3008929	3299	29698
30	3399	29499
31	3504	29348
332	3639	2944933	3723	29130
34	3851	29163
35	3992	29278
36	4091	29079
37	4190	28893
38	4300	28779
39	4403	28620
40	4499	28420
41	4608	28307
42	4710	28151
43	4819	28039
44	4906	27803
45	5012	27676
46	5114	27530
47	5240	27514
48	5346	27389
49	5478	27393
50	5566	27177
51	5681	27098
52	5788	26974
53	5892	26844
54	5998	26722
55	6084	26508
56	6178	26340
57	6295	26268
58	6405	26163
59	6525	26102
60	6624	25956
61	6730	25838
62	6831	25699
63	6921	25523
64	7049	25485
65	7146	25339
66	7284	25331
67	7403	25258
68	7519	25173
69	7630	25070
70	7769	25059
71	7887	24978
72	7999	24873
73	8097	24731
74	8201	24603
75	8287	24425
76	8378	24263
77	8482	24141
78	8599	24057
79	8707	23945
80	8800	23792
81	8923	23724
82	9030	23609
83	9142	23509
84	9224	23331
85	9321	23196
86	9437	23105
87	9542	22988
88	9632	22837
89	9722	22684
90	9827	22570
91	9935	22462
92	10036	22338
93	10167	22282
94	10281	22186
95	10387	22073
96	10499	21973
97	10609	21869
98	10723	21772
99	10835	21670
100	10964	21602
101	11072	21493
102	11180	21384
103	11294	21285
104	11398	21169
105	11493	21035
106	11598	20920
107	11698	20796
108	11784	20649
109	11909	20570
110	12018	20463
111	12118	20341
112	12220	202231113	12324	201091114	12426	199901115	12530	198751116	12631	197571117	12734	196401118	12848	195421119	12968	194521120	13064	193261121	13165	192091122	13289	191231123	13395	190121124	13517	189251125	13618	188061126	13708	186741127	13805	185511128	13909	184381129	14016	183291130	14136	182371131	14258	181461132	14363	180351133	14480	179371134	14606	178521135	14719	177501136	14848	176661137	14973	17577
138	15103	17494
139	15212	17385
140	15335	17293
141	15441	17181
142	15532	17052
143	15641	16945
144	15757	16843
145	15861	16731
146	15969	166201147	16102	165371148	16224	16442
149	16314	163141150	16426	16208
151	16533	16098
152	16648	15995
153	16765	15894
154	16860	15772
155	16964	15659
156	17065	15543
157	17156	154191158	17267	153131159	17371	152001160	17474	150861161	17577	149731162	17671	148531163	17758	147261164	17849	14604165	17976	14511
166	18082	14401
1167	18168	142751168	18281	141701169	18391	140631170	18498	139551171	18601	138431172	18698	137261173	18803	13616174	18934	13524
175	19036	13411
176	19141	13301
177	19257	13198
178	19375	13097
179	19486	12991
180	19602	12887
181	19699	12772
182	19810	12665
183	19907	12550
184	20004	12435
185	20104	12322
186	20215	12215
187	20323	12107
188	20419	11992
189	20530	11886
190	20633	11775
191	20741	11667
192	20854	11561
193	20977	11461
194	21094	11358
195	21196	11247
196	21294	11133
197	21390	11019
198	21505	10915
199	21640	10820
200	21744	10710
201	21843	10597
202	21940	10483
203	22032	10368
204	22137	10258
205	22232	10144
206	22328	10031
207	22420	9916
208	22512	9802
209	22598	9685
210	22698	9574
211	22793	9461
212	22888	9348
213	22979	9234
214	23070	9120
215	23168	9009
216	23264	8898
217	23361	8787
218	23462	8678
219	23555	8565
220	23645	8452
2221	23712	8331222	23823	8225
2223	23894	81072224	23984	7994225	24096	7890
226	24193	7780
227	24304	7675
228	24409	7567
229	24500	7456
230	24567	7338
2231	24625	72172232	24720	71082233	24811	69982234	24914	68912235	25005	67812236	25106	66732237	25199	65642238	25319	64622239	25425	63562240	25516	62462241	25609	61372242	25701	60282243	25799	59212244	25891	58122245	25989	57052246	26082	55962247	26172	54872248	26276	53812249	26366	52732250	26457	51642251	26561	50592252	26652	49512253	26759	48462254	26871	4741
255	26964	46342256	27057	45272257	27151	44202258	27245	43122259	27346	42072260	27442	41002261	27548	39952262	27643	38892263	27733	37812264	27828	36752265	27918	35682266	28015	34622267	28111	33562268	28221	32522269	28309	31452270	28410	30402271	28502	29342272	28595	28282273	28689	2722
274	28788	2617
275	28887	2511
276	28983	2406
277	29046	2298
278	29116	2191
279	29191	2085
280	29266	1978
281	29337	1872
282	29407	1766
283	29487	1661
284	29563	1555
285	29625	1450
286	29692	1344
287	29760	1240
288	29828	1135
289	29893	1030
290	29962	926
291	30031	822
292	30101	719
293	30165	615
294	30236	512
295	30299	409
296	30358	306
297	30422	204
298	30461	101
299	30502	0
